"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"564761","occ","","","11601","Hexanchus aus","species","34526","species not entered","Hexanchus","genus","34526","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564762","occ","","","11601","Hexanchus bus","species","34526","species not entered","Hexanchus","genus","34526","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564763","occ","","","11601","Squatina cf. lerichei","species","34570","species not entered","Squatina","genus","34570","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564764","occ","","","11601","Squalus cf. serriculus","species","34562","species not entered","Squalus","genus","34562","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564765","occ","","","11601","Echinorhinus blakei","species","83111","","Echinorhinus blakei","species","83111","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564767","occ","","","11601","Odontaspis ferox","species","83148","","Odontaspis ferox","species","83148","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564768","occ","","","11601","Isurus benedini","species","34613","species not entered","Isurus","genus","34613","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564769","occ","","","11601","Isurus aus","species","34613","species not entered","Isurus","genus","34613","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564770","occ","","","11601","Isurus bus","species","34613","species not entered","Isurus","genus","34613","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564771","occ","","","11601","Carcharodon angustidens","species","124964","","Carcharodon angustidens","species","124964","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564772","occ","","","11601","Cetorhinus sp.","genus","34606","","Cetorhinus","genus","34606","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564776","occ","","","11601","Cephaloscyllium sp.","genus","155507","subjective synonym of","Scyliorhinus","genus","34663","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564777","occ","","","11601","Galeorhinus cf. latus","species","83177","species not entered","Galeorhinus","genus","83177","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564778","occ","","","11601","Negaprion cf. elongata","species","34651","species not entered","Negaprion","genus","34651","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564779","occ","","","11601","Galeocerdo medius","species","34643","species not entered","Galeocerdo","genus","34643","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564780","occ","","","11601","Carcharhinus sp.","genus","34640","","Carcharhinus","genus","34640","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564781","occ","","","11601","Sphyrna aus","species","34664","species not entered","Sphyrna","genus","34664","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564782","occ","","","11601","Sphyrna bus","species","34664","species not entered","Sphyrna","genus","34664","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"564784","occ","","","11601","Myliobatis californicus","species","34741","species not entered","Myliobatis","genus","34741","Aquitanian","","23.03","20.44","4383","-118.848335","35.492779","US","California","Kern","based on nearby landmark","seconds","local area","low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
"565276","occ","","","45487","Procarcharodon megalodon","species","280904","recombined as","Carcharocles megalodon","species","80603","Serravallian","","13.82","11.62","16797","-75.671387","-14.558056","PE","Ica","Ocucaje","estimated from map","seconds","local area","Coordinates from Bianucci et al. 2010.\r\nFrom Baez 2006: Los afloramientos del C° La Bruja y el C° El Brujito, pertenecen a la Formación Pisco el cual aflora en la localidad de Ocucaje y se encuentra, dentro de la Cuenca de Antearco del mismo nombre ubicada en la parte Sur-Central del Perú en la margen Activa Continental Peruana"
"565277","occ","","","45487","Carcharhinus sp.","genus","34640","","Carcharhinus","genus","34640","Serravallian","","13.82","11.62","16797","-75.671387","-14.558056","PE","Ica","Ocucaje","estimated from map","seconds","local area","Coordinates from Bianucci et al. 2010.\r\nFrom Baez 2006: Los afloramientos del C° La Bruja y el C° El Brujito, pertenecen a la Formación Pisco el cual aflora en la localidad de Ocucaje y se encuentra, dentro de la Cuenca de Antearco del mismo nombre ubicada en la parte Sur-Central del Perú en la margen Activa Continental Peruana"
"565278","occ","","","45487","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Serravallian","","13.82","11.62","16797","-75.671387","-14.558056","PE","Ica","Ocucaje","estimated from map","seconds","local area","Coordinates from Bianucci et al. 2010.\r\nFrom Baez 2006: Los afloramientos del C° La Bruja y el C° El Brujito, pertenecen a la Formación Pisco el cual aflora en la localidad de Ocucaje y se encuentra, dentro de la Cuenca de Antearco del mismo nombre ubicada en la parte Sur-Central del Perú en la margen Activa Continental Peruana"
"565289","occ","","","45486","Isurus cf. oxyrhynchus","species","34613","species not entered","Isurus","genus","34613","Tortonian","","11.62","7.246","16797","-74.871994","-15.441929","PE","","","estimated from map","6","","Coordinates estimated from map in Marocco and de Muizon (1988)"
"565290","occ","","","45486","Procarcharodon megalodon","species","280904","recombined as","Carcharocles megalodon","species","80603","Tortonian","","11.62","7.246","16797","-74.871994","-15.441929","PE","","","estimated from map","6","","Coordinates estimated from map in Marocco and de Muizon (1988)"
"565291","occ","","","45486","Carcharhinus cf. egertoni","species","246012","","Carcharhinus egertoni","species","246012","Tortonian","","11.62","7.246","16797","-74.871994","-15.441929","PE","","","estimated from map","6","","Coordinates estimated from map in Marocco and de Muizon (1988)"
"565292","occ","","","45486","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Tortonian","","11.62","7.246","16797","-74.871994","-15.441929","PE","","","estimated from map","6","","Coordinates estimated from map in Marocco and de Muizon (1988)"
"565293","occ","","","45486","Heterodontus sp.","genus","34572","","Heterodontus","genus","34572","Tortonian","","11.62","7.246","16797","-74.871994","-15.441929","PE","","","estimated from map","6","","Coordinates estimated from map in Marocco and de Muizon (1988)"
"565305","occ","","","45485","Isurus cf. oxyrhynchus","species","34613","species not entered","Isurus","genus","34613","Tortonian","","11.62","7.246","16797","-74.781944","-15.482778","PE","","","estimated from map","seconds","local area","Coordinates estimated from map in Marocco and de Muizon (1988)"
"565306","occ","","","45485","Procarcharodon megalodon","species","280904","recombined as","Carcharocles megalodon","species","80603","Tortonian","","11.62","7.246","16797","-74.781944","-15.482778","PE","","","estimated from map","seconds","local area","Coordinates estimated from map in Marocco and de Muizon (1988)"
"565307","occ","","","45485","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Tortonian","","11.62","7.246","16797","-74.781944","-15.482778","PE","","","estimated from map","seconds","local area","Coordinates estimated from map in Marocco and de Muizon (1988)"
"565321","occ","","","46084","Procarcharodon megalodon","species","280904","recombined as","Carcharocles megalodon","species","80603","Messinian","","7.246","5.333","16797","-74.746391","-15.576944","PE","","","estimated from map","seconds","","coordinates estimated from map in Marocco and de Muizon (1988)"
"565322","occ","","","46084","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Messinian","","7.246","5.333","16797","-74.746391","-15.576944","PE","","","estimated from map","seconds","","coordinates estimated from map in Marocco and de Muizon (1988)"
"565340","occ","","","46083","Procarcharodon megalodon","species","280904","recombined as","Carcharocles megalodon","species","80603","Messinian","","7.246","5.333","16797","-74.690277","-15.557222","PE","","","estimated from map","seconds","local area","coordinates estimated from map in Marocco and de Muizon (1988)"
"565341","occ","","","46083","Carcharhinus cf. egertoni","species","246012","","Carcharhinus egertoni","species","246012","Messinian","","7.246","5.333","16797","-74.690277","-15.557222","PE","","","estimated from map","seconds","local area","coordinates estimated from map in Marocco and de Muizon (1988)"
"565342","occ","","","46083","Carcharhinus cf. priscus","species","280327","","Carcharhinus priscus","species","280327","Messinian","","7.246","5.333","16797","-74.690277","-15.557222","PE","","","estimated from map","seconds","local area","coordinates estimated from map in Marocco and de Muizon (1988)"
"565344","occ","","","46083","Hexanchus gigas","species","34526","species not entered","Hexanchus","genus","34526","Messinian","","7.246","5.333","16797","-74.690277","-15.557222","PE","","","estimated from map","seconds","local area","coordinates estimated from map in Marocco and de Muizon (1988)"
"565345","occ","","","46083","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Messinian","","7.246","5.333","16797","-74.690277","-15.557222","PE","","","estimated from map","seconds","local area","coordinates estimated from map in Marocco and de Muizon (1988)"
"565793","occ","","","59181","Carcharocles megalodon","species","202672","","Carcharocles megalodon","species","80603","Serravallian","","13.82","11.62","16919","138.240005","38.033333","JP","Niigata","","stated in text","6","","Do-no-kama, Ogi-machi, Sado-gun, west shore of Sado Island, Niigata Prefecture, Japan."
"566052","occ","","","59273","Galeus aduncus","species","34645","species not entered","Galeus","genus","34645","Zanclean","Piacenzian","5.333","2.588","16960","15.833333","38.016666","IT","","","stated in text","minutes","local area","Locality mentioned in text"
"566053","occ","","","59273","Galeus indet.","genus","34645","","Galeus","genus","34645","Zanclean","Piacenzian","5.333","2.588","16960","15.833333","38.016666","IT","","","stated in text","minutes","local area","Locality mentioned in text"
"566787","occ","","","59341","Onchopristis numidus","species","96163","","Onchopristis numidus","species","154439","Albian","","113","100.5","16999","0.833330","32.716671","DZ","Adrar","","based on nearby landmark","5","outcrop","between Bou-Sembhoun and El Abiod Sidi Cheikh, in the Oued Boudjihane valley, 18 km E of the Noukhila headwters, near the road from Kheneg Tafarahit. Lambert South-Algeria coordinates: x = 261.2 to 261.7, y = 245.0 to 245.5"
"566946","occ","","","34744","Myledaphus sp.","genus","34808","","Myledaphus","genus","34808","Early Maastrichtian","","70.6","66","17034","-112.865601","51.549999","CA","Alberta","","stated in text","2","small collection","1.5 miles S of Munson Ferry on Red Deer River near Drumheller, Alberta. SW corner of subdivision 6, section 10, T30, R21, W of 4th meridian. Approx. 9.5 miles NW of Drumheller. Horizon is about 80 ft. above river. (Also described as near Bleriot Ferry, about 10 km NW of RTMP.)"
"567487","occ","","","59578","Onchopristis numidus","species","96163","","Onchopristis numidus","species","154439","Late Albian","","105.3","99.6","17062","1.916667","29.666670","DZ","Adrar","","based on nearby landmark","5","small collection","Gara Samani, on the NW border of Tademaït, halfway between Timimoun and El Goléa, in the Algerian Sahara"
"568412","occ","","","47623","Galeocerdo aduncus","species","95928","","Galeocerdo aduncus","species","95928","Aquitanian","","23.03","20.44","17090","12.217500","46.139999","IT","","","estimated from map","seconds","local area",""
"568413","occ","","","47623","Notidanus primigenius","species","80586","","Notidanus primigenius","species","80586","Aquitanian","","23.03","20.44","17090","12.217500","46.139999","IT","","","estimated from map","seconds","local area",""
"568414","occ","","","47623","Odontaspis contortidens","species","97235","","Odontaspis contortidens","species","97230","Aquitanian","","23.03","20.44","17090","12.217500","46.139999","IT","","","estimated from map","seconds","local area",""
"568416","occ","","","47623","Oxyrhina hastalis","species","80595","recombined as","Carcharodon hastalis","species","80595","Aquitanian","","23.03","20.44","17090","12.217500","46.139999","IT","","","estimated from map","seconds","local area",""
"568419","occ","","","47623","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Aquitanian","","23.03","20.44","17090","12.217500","46.139999","IT","","","estimated from map","seconds","local area",""
"568420","occ","","","47623","Chrysophrys cf. cincta","species","275739","misspelling of, species not entered","Chrysophris","genus","68429","Aquitanian","","23.03","20.44","17090","12.217500","46.139999","IT","","","estimated from map","seconds","local area",""
"568482","occ","","","32314","Hexanchidae indet.","family","83104","","Hexanchidae","family","83104","Late Albian","Cenomanian","105.3","93.9","16510","37.752220","51.288612","RU","Belgorod","","based on nearby landmark","seconds","outcrop","loose deposits of the Stoilo quarry, near Staryi Oskol, northeast of the Belgorod region, Russia. Coordinates are for Stoilo (Stoylo)."
"568486","occ","","","32314","Cretolamna sp.","genus","34608","","Cretolamna","genus","34608","Late Albian","Cenomanian","105.3","93.9","16510","37.752220","51.288612","RU","Belgorod","","based on nearby landmark","seconds","outcrop","loose deposits of the Stoilo quarry, near Staryi Oskol, northeast of the Belgorod region, Russia. Coordinates are for Stoilo (Stoylo)."
"568487","occ","","","32314","Cretoxyrhina sp.","genus","34609","","Cretoxyrhina","genus","34609","Late Albian","Cenomanian","105.3","93.9","16510","37.752220","51.288612","RU","Belgorod","","based on nearby landmark","seconds","outcrop","loose deposits of the Stoilo quarry, near Staryi Oskol, northeast of the Belgorod region, Russia. Coordinates are for Stoilo (Stoylo)."
"568488","occ","","","32314","Paraisurus sp.","genus","151700","","Paraisurus","genus","151700","Late Albian","Cenomanian","105.3","93.9","16510","37.752220","51.288612","RU","Belgorod","","based on nearby landmark","seconds","outcrop","loose deposits of the Stoilo quarry, near Staryi Oskol, northeast of the Belgorod region, Russia. Coordinates are for Stoilo (Stoylo)."
"568519","occ","","","59698","Myledaphus sp.","genus","34808","","Myledaphus","genus","34808","Early Turonian","","93.5","89.3","16510","67.000000","40.099998","UZ","Karakalpakstan","","based on nearby landmark","1","small collection","ravine on the eastern edge of the Sultan-Uvais Ridge, Karakalpakistan"
"569332","occ","","","59776","Cretolamna sp.","genus","34608","","Cretolamna","genus","34608","Early Campanian","","83.5","70.6","17121","-0.466667","45.750000","FR","","Charente-Maritime","based on nearby landmark","minutes","hand sample","Chemin ânier, Préguillac"
"569334","occ","","","59777","Onchopristis numidus","species","96163","","Onchopristis numidus","species","154439","Albian","Cenomanian","113","93.9","17122","-3.816111","31.291668","MA","Er Rachidia","","estimated from map","seconds","local area","along 12 km of outcrop (N to S), from the Moungar el Alenda (SW of Hassi Beraber) to the S flank of the upper valley of the Oued (Wadi) Chebbi, in the foothills of the Hammada du Guir"
"571575","occ","","","48884","Squatina n. sp. occidentalis","species","80571","","Squatina occidentalis","species","80571","Burdigalian","","20.44","15.97","17219","-76.514168","38.602779","US","Maryland","Calvert","estimated from map","seconds","","1.5 miles south of Plum Point wharf, Calvert County, MD"
"571576","occ","","","57782","Raja dux","species","80576","recombined as","Trygon dux","species","80576","Langhian","","15.97","13.82","17219","-76.704170","38.542778","US","Maryland","Charles","estimated from map","seconds","local area","very general area, description of the location is sketchy at best"
"571577","occ","","","57782","Myliobatis gigas","species","80578","","Myliobatis gigas","species","80578","Langhian","","15.97","13.82","17219","-76.704170","38.542778","US","Maryland","Charles","estimated from map","seconds","local area","very general area, description of the location is sketchy at best"
"571578","occ","","","57782","Myliobatis pachyodon","species","80580","","Myliobatis pachyodon","species","80580","Langhian","","15.97","13.82","17219","-76.704170","38.542778","US","Maryland","Charles","estimated from map","seconds","local area","very general area, description of the location is sketchy at best"
"571579","occ","","","57782","Myliobatis n. sp. frangens","species","80581","","Myliobatis frangens","species","80581","Langhian","","15.97","13.82","17219","-76.704170","38.542778","US","Maryland","Charles","estimated from map","seconds","local area","very general area, description of the location is sketchy at best"
"571580","occ","","","57782","Notidanus primigenius","species","80586","","Notidanus primigenius","species","80586","Langhian","","15.97","13.82","17219","-76.704170","38.542778","US","Maryland","Charles","estimated from map","seconds","local area","very general area, description of the location is sketchy at best"
"571582","occ","","","48884","Odontaspis elegans","species","80590","subjective synonym of","Odontaspis macrota","species","132649","Burdigalian","","20.44","15.97","17219","-76.514168","38.602779","US","Maryland","Calvert","estimated from map","seconds","","1.5 miles south of Plum Point wharf, Calvert County, MD"
"571584","occ","","","48884","Oxyrhina hastalis","species","80595","recombined as","Carcharodon hastalis","species","80595","Burdigalian","","20.44","15.97","17219","-76.514168","38.602779","US","Maryland","Calvert","estimated from map","seconds","","1.5 miles south of Plum Point wharf, Calvert County, MD"
"571592","occ","","","48884","Carcharodon megalodon","species","80601","recombined as","Carcharocles megalodon","species","80603","Burdigalian","","20.44","15.97","17219","-76.514168","38.602779","US","Maryland","Calvert","estimated from map","seconds","","1.5 miles south of Plum Point wharf, Calvert County, MD"
"571596","occ","","","48884","Carcharias n. sp. collata","species","80619","","Carcharias collata","species","80619","Burdigalian","","20.44","15.97","17219","-76.514168","38.602779","US","Maryland","Calvert","estimated from map","seconds","","1.5 miles south of Plum Point wharf, Calvert County, MD"
"571831","occ","","","60002","Onchopristis ? sp.","genus","96159","","Onchopristis","genus","96159","Early Cenomanian","","99.6","93.5","16599","-3.855000","30.905001","MA","Er Rachidia","","estimated from map","seconds","small collection","east of Taouz on the Hammada du Guir plateau - but specific locality data were not recorded."
"572004","occ","","F","60038","Kirkella ? sp.","genus","155472","","Kirkella","genus","155472","Arenig","","478.6","466","13544","-116.438004","39.203999","US","Nevada","","stated in text","3","outcrop","several meters below stake for Whiterockian/Ibexian boundary"
"574424","occ","","","60397","Igdabatis sigmoides","species","34736","species not entered","Igdabatis","genus","34736","Maastrichtian","","72.1","66","17376","79.051941","20.350834","IN","Maharashtra","","estimated from map","seconds","small collection","Pisdura, Pisdura Hill, Wardha Valley, about 320 km S of Jabalpur"
"574425","occ","","","60397","Rhinoptera sp.","genus","34745","","Rhinoptera","genus","34745","Maastrichtian","","72.1","66","17376","79.051941","20.350834","IN","Maharashtra","","estimated from map","seconds","small collection","Pisdura, Pisdura Hill, Wardha Valley, about 320 km S of Jabalpur"
"575460","occ","","","59183","Squalus occidentalis","species","81029","","Squalus occidentalis","species","81028","Tortonian","","11.62","7.246","17394","-121.929169","46.983334","US","Washington","Grays Harbor","estimated from map","seconds","","Locality is imprecise and potentially suspect."
"575909","occ","","","60566","Pseudocetorhinus pickfordi","species","253574","species not entered","Pseudocetorhinus","genus","253574","Rhaetian","","208.5","201.3","17409","5.550000","46.666672","FR","Jura","Franche-Comte","based on nearby landmark","5","small collection","Le Fechaux, in Lons-le-Saunier, Jura"
"575937","occ","","","60568","Pseudocetorhinus pickfordi","species","253574","species not entered","Pseudocetorhinus","genus","253574","Rhaetian","","208.5","201.3","17409","5.550000","46.666672","FR","Jura","Franche-Comte","based on nearby landmark","5","small collection","Le Fechaux, in Lons-le-Saunier, Jura"
"577799","occ","","","60806","Squalicorax sp.","genus","34633","","Squalicorax","genus","34633","Late Campanian","","83.5","70.6","17499","-117.295280","33.130001","US","California","","estimated from map","seconds","small collection","found during construction of College Boulevard, in Letterbox Canyon betwwen El Camino Real and Palomar Airport Road, along NW side of Palomar-McClellan Airport, Carlsbad. Coordinates given (""approximately 117°15'W, 33°9'N) do not match actual site placement on map."
"579001","occ","","","60940","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Zanclean","","5.333","3.6","17558","-80.148331","33.327499","US","South Carolina","Berkeley","based on nearby landmark","seconds","outcrop","Martin Marietta Berkeley Quarry. Berkeley County, near Cross, South Carolina, on the east side of County Road 59, about 2 miles south of State Highway Rt. 6, Chicora 7.5 min. quadrangle. Lat/long estimate based on Cross, Berkeley County, South Carolina."
"581454","occ","","","61215","n. gen. Squaliodalatias n. sp. weltoni","species","151826","","Squaliodalatias weltoni","species","151826","Lutetian","","47.8","41.3","17589","-1.133333","43.666668","FR","","","based on political unit","minutes","small collection","SW of Dax (SW-France)"
"582090","occ","","","61259","Squaliodalatias weltoni","species","151826","","Squaliodalatias weltoni","species","151826","Lutetian","","47.8","41.3","17589","-1.133333","43.666668","FR","","","based on political unit","minutes","small collection","NE of Dax (SW-France)"
"582099","occ","","","61236","Lamniformes indet.","order","34598","","Lamniformes","order","34598","Late Aptian","","122.46","112.03","17621","-0.674444","41.001389","ES","Aragón","Teruel","estimated from map","seconds","small collection","exposures N of town of Oliete; in the Oliete sub-basin of the Maestrazgo Basin"
"583694","occ","","","61351","Heterodontus cf. rugosus","species","156232","","Heterodontus rugosus","species","156231","Late Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Meschers cliffs,\r\nGironde Estuary, a few kilometres SE of Royan"
"583695","occ","","","61351","Squalicorax kaupi","species","117646","","Squalicorax kaupi","species","210092","Late Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Meschers cliffs,\r\nGironde Estuary, a few kilometres SE of Royan"
"583696","occ","","","61351","Squalicorax pristodontus","species","110987","","Squalicorax pristodontus","species","110986","Late Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Meschers cliffs,\r\nGironde Estuary, a few kilometres SE of Royan"
"583697","occ","","","61351","Serratolamna khderii","species","86150","species not entered","Serratolamna","genus","86150","Late Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Meschers cliffs,\r\nGironde Estuary, a few kilometres SE of Royan"
"583698","occ","","","61351","Protolamna borodini","species","34629","species not entered","Protolamna","genus","34629","Late Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Meschers cliffs,\r\nGironde Estuary, a few kilometres SE of Royan"
"583699","occ","","","61351","Paranomotodon sp.","genus","34626","","Paranomotodon","genus","34626","Late Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Meschers cliffs,\r\nGironde Estuary, a few kilometres SE of Royan"
"583700","occ","","","61351","Palaeogaleus faujasi","species","34653","species not entered","Palaeogaleus","genus","34653","Late Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Meschers cliffs,\r\nGironde Estuary, a few kilometres SE of Royan"
"583769","occ","","","61352","Squatina cf. hassei","species","63024","","Squatina hassei","species","63024","Middle Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Le Caillaud cliff,\r\nGironde Estuary, a few kilometres SE of Royan"
"583770","occ","","","61352","Heterodontus cf. rugosus","species","156232","","Heterodontus rugosus","species","156231","Middle Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Le Caillaud cliff,\r\nGironde Estuary, a few kilometres SE of Royan"
"583771","occ","","","61352","Plicatoscyllium cf. globidens","species","90133","species not entered","Plicatoscyllium","genus","90133","Middle Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Le Caillaud cliff,\r\nGironde Estuary, a few kilometres SE of Royan"
"583772","occ","","","61352","Squalicorax kaupi","species","117646","","Squalicorax kaupi","species","210092","Middle Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Le Caillaud cliff,\r\nGironde Estuary, a few kilometres SE of Royan"
"583773","occ","","","61352","Squalicorax pristodontus","species","110987","","Squalicorax pristodontus","species","110986","Middle Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Le Caillaud cliff,\r\nGironde Estuary, a few kilometres SE of Royan"
"583774","occ","","","61352","Pseudocorax laevis","species","156472","","Pseudocorax laevis","species","156471","Middle Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Le Caillaud cliff,\r\nGironde Estuary, a few kilometres SE of Royan"
"583775","occ","","","61352","Carcharias latus","species","64190","species not entered","Carcharias","genus","64190","Middle Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Le Caillaud cliff,\r\nGironde Estuary, a few kilometres SE of Royan"
"583776","occ","","","61352","Carcharias n. sp. adneti","species","64190","species not entered","Carcharias","genus","64190","Middle Campanian","","83.5","70.6","17575","-1.016667","45.616669","FR","","Charente-Maritime","","minutes","","Le Caillaud cliff,\r\nGironde Estuary, a few kilometres SE of Royan"
